ITEMNAME,sales_channel,mapped_pack_size,anchor_pack,pl1,pl2,pl3,pl4,segment_enterprise_anchor_target_price,segment_a_anchor_target_price,segment_b_anchor_target_price,segment_c_anchor_target_price,segment_d_anchor_target_price,anchor_book_price_per_weight,anchor_floor_price_per_weight,p10,p20,p30,p40,p50,p60,p70,p80,p90
ACCUCUT 59 S      5GLPL,NON-DISTRIBUTION,SMALL,TOTE,METAL REMOVAL,"MINERAL, STRAIGHT",ACCU,ACCUCUT 59 S,2.233631961,2.310807102502018,2.310807102502018,2.310807102502018,2.6195641646489105,2.6195641646489105,1.1536601888932614,5.103947368421053,5.103947368421053,5.103947368421053,5.103947368421053,5.103947368421053,5.103947368421053,5.103947368421053,5.103947368421053,5.103947368421053
LIQUID MC726     1249L/330G,NON-DISTRIBUTION,TOTE,DRUM,INDUSTRIAL CLEANERS,ALKALINE CLEANERS / DESCALERS,LIQUID,LIQUID MC-726 / GF CLEAN 1260,1.835676567656766,1.9412211221122113,2.0228052805280528,2.0228052805280528,2.156767508440787,2.156767508440787,0.5324163694878733,1.1772584640792731,1.1772584640792731,1.1772584640792731,1.1772584640792731,1.1772584640792731,1.1772584640792731,1.1772584640792731,1.1772584640792731,1.1772584640792731
ASSURANCE 6790     208L/55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,Glycols,General,Assurance,Assurance 6790,1.276890595009597,1.2775815738963532,1.2775815738963532,1.2775815738963532,1.4240425531914893,1.4240425531914893,0.9570044893378226,1.276890595009597,1.276890595009597,1.276890595009597,1.276890595009597,1.2775815738963532,1.2775815738963532,1.2775815738963532,1.2775815738963532,1.2775815738963532
SOLVENT NPB     55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,SOLVENT,SOLVENT NPB,N-PROPYL BROMIDE (STABILIZED),6.568445554,6.568445554,6.568445554,6.568445554,6.568445554,6.881228675136116,6.375997856230616,6.1931034482758625,6.1931034482758625,6.1931034482758625,6.255662431941923,6.255662431941923,6.255662431941923,6.255662431941923,6.255662431941923,6.255662431941923
FORM OIL 401      250GL TOTE,NON-DISTRIBUTION,TOTE,TOTE,Unmapped,Unmapped,Unmapped,Unmapped,1.283112582781457,1.3500652282990468,1.398107064,1.416219646799117,1.4487362030905078,1.4850717511289517,1.121459905898619,1.2509933774834439,1.283112582781457,1.3142991169977927,1.3749668874172185,1.398107064,1.398107064,1.416219646799117,1.416219646799117,1.4487362030905078
FORM OIL 401      55GL DRUM,NON-DISTRIBUTION,DRUM,TOTE,Unmapped,Unmapped,Unmapped,Unmapped,1.283112582781457,1.3500652282990468,1.398107064,1.416219646799117,1.4487362030905078,1.4850717511289517,1.121459905898619,1.5634335839598996,1.5634335839598996,1.5634335839598996,1.5634335839598996,1.5634335839598996,1.5634335839598996,1.5634335839598996,1.6162406015037594,1.6162406015037594
5032-15 - RESCUE - CONC COMP CLN   5GL PAIL GRY,NON-DISTRIBUTION,SMALL,SMALL,LUBRICANT,Compressor & Vacuum,ISEL,5031 Rescue HTF HTCC/ 5032 Rescue Conc Comp CLN/5033 Rescue System CSC ISO 15,5.392162162162162,5.883357843137254,6.171039661388934,6.451541464179339,6.451541464179339,6.451541464179339,1.8361253343301942,6.667567567567567,6.667567567567567,6.667567567567567,6.667567567567567,6.667567567567567,6.667567567567567,6.667567567567567,6.667567567567567,6.667567567567567
5031-15 - RESCUE HTF - HTCC   5GL PAIL BLK,NON-DISTRIBUTION,SMALL,SMALL,LUBRICANT,Heat Transfer,ISEL,5031 Rescue HTF HTCC/ 5032 Rescue Conc Comp CLN/5033 Rescue System CSC ISO 15,5.392162162162162,5.883357843137254,6.171039661388934,6.451541464179339,6.451541464179339,6.451541464179339,1.8361253343301942,5.462432432432433,5.462432432432433,5.462432432432433,5.462432432432433,5.575945945945946,5.575945945945946,6.756756756756757,6.756756756756757,6.756756756756757
211      226.8 KG / 500 LB,NON-DISTRIBUTION,DRUM,DRUM,INDUSTRIAL CLEANERS,ACID CLEANERS / DESCALERS,211,211,3.25563,3.25563,3.25563,3.25563,3.25563,3.4106600000000005,1.0893612380952382,3.1006,3.1006,3.1006,3.1006,3.1006,3.1006,3.1006,3.1006,3.1006
SECURE STEAM FRP     208L/55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,SURFACE FINISHING,SPRAY WAND,SECURE,SECURE STEAM FRP,1.7660869565217392,1.9742533081285447,2.0441016735080515,2.142967864,2.2393338222512034,2.2393338222512034,0.6934237898790145,1.8190737240075614,1.9111342155009452,1.9275992438563327,1.9460491493383743,1.9742533081285447,2.0451606805293006,2.16,2.2713232514177695,2.6782797731568997
